Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG1,0,0.0,0.1890042284,623.4969168363623,333.1996264248486,258.0,268.0,3.199548027362742e-05,252.3911937345413,7.0,0.02699714862577511,9.0,0.5033213322056036,635.0,817.7723256596904,19.0,0.28091619166503995,ExpDel,252.3911937345413,7.0,1614.7605322748623,0.8917730965168804,0.18986125666931888,0.997,230221_ABA
PPG1,1,30.0,0.1873576534,569.609441524774,340.9356457531321,258.0,263.0,6.088866965187701e-05,,,,,,,,,,,,,,,,,230221_ABA
PPG1,2,60.0,0.1890757367999999,524.6832150091909,349.36303029527966,258.0,269.0,9.358144402122903e-05,,,,,,,,,,,,,,,,,230221_ABA
PPG1,3,90.0,0.1897851753999999,454.1946333511817,366.7057028615697,260.0,269.0,0.0001300111177722567,,,,,,,,,,,,,,,,,230221_ABA
PPG1,4,120.0,0.1901859988,426.6098045970445,370.77224233173706,261.0,268.0,0.00017007867957518074,,,,,,,,,,,,,,,,,230221_ABA
PPG1,5,150.0,0.1914242231999999,418.8336329479105,369.9916661328103,263.0,266.0,0.00021364510459153963,,,,,,,,,,,,,,,,,230221_ABA
PPG1,6,180.0,0.1924535678,405.67321359907794,369.7315732108001,263.0,268.0,0.0002609320375998817,,,,,,,,,,,,,,,,,230221_ABA
PPG1,7,210.0,0.1935939386,387.45688524645294,367.9063563459447,264.0,270.0,0.0003117744264354252,,,,,,,,,,,,,,,,,230221_ABA
PPG1,8,240.0,0.1953383671999999,384.6293356505206,363.9831523967768,265.0,271.0,0.0003664361238391915,,,,,,,,,,,,,,,,,230221_ABA
PPG1,9,270.0,0.197974769,386.99175768787626,361.9970825689943,267.0,272.0,0.0004197695781723169,,,,,,,,,,,,,,,,,230221_ABA
PPG1,10,300.0,0.200392882,377.5427430064692,364.16582470649735,268.0,274.0,0.00047358510706113345,,,,,,,,,,,,,,,,,230221_ABA
PPG1,11,330.0,0.2034733885999999,378.7160333676962,363.26191840129,271.0,275.9847741572256,0.0005275828848441356,,,,,,,,,,,,,,,,,230221_ABA
PPG1,12,360.0,0.2064786232,379.8392823064029,362.3817126650183,272.0,278.0,0.0005747504501358639,,,,,,,,,,,,,,,,,230221_ABA
PPG1,13,390.0,0.210065334,379.352377677844,361.2873766604629,274.0,281.0,0.0006214432437048486,,,,,,,,,,,,,,,,,230221_ABA
PPG1,14,420.0,0.2136238177999999,378.8524122400718,361.9819708341981,276.0,284.0,0.0006668507648516673,,,,,,,,,,,,,,,,,230221_ABA
PPG1,15,450.0,0.2182831545999999,377.8509871703397,362.2214847811774,279.0,288.0,0.0007038122083145336,,,,,,,,,,,,,,,,,230221_ABA
PPG1,16,480.0,0.2230836263999999,377.6689110117056,362.5315587875428,282.0,292.0,0.0007330040149239155,,,,,,,,,,,,,,,,,230221_ABA
PPG1,17,510.0,0.2280515784,376.8651954766045,362.6595700343163,285.0,295.0,0.0007505230954697667,,,,,,,,,,,,,,,,,230221_ABA
PPG1,18,540.0,0.232844523,376.0975409691577,362.7762877056544,288.0,299.0,0.0007585420478944748,,,,,,,,,,,,,,,,,230221_ABA
PPG1,19,570.0,0.2384880411999999,375.0327068437789,362.4939642021984,291.0,303.0,0.0007514365869337673,,,,,,,,,,,,,,,,,230221_ABA
PPG1,20,600.0,0.2439038616,375.0235085092582,362.9312186078884,295.0,306.0,0.000734997630205553,,,,,,,,,,,,,,,,,230221_ABA
PPG1,21,630.0,0.2498240043999999,374.391577311366,362.93642416596856,298.0,310.0,0.0007058624124111455,,,,,,,,,,,,,,,,,230221_ABA
PPG1,22,660.0,0.2549726092,374.3628399711034,362.5983079339561,301.0,314.0,0.0006748124932658006,,,,,,,,,,,,,,,,,230221_ABA
PPG1,23,690.0,0.2600290058,373.1707458995037,362.5820831295017,303.0,317.0,0.0006435023874058736,,,,,,,,,,,,,,,,,230221_ABA
PPG1,24,720.0,0.2652227738,373.0053155940559,362.10211286768697,307.0,320.0,0.0006137306211662592,,,,,,,,,,,,,,,,,230221_ABA
PPG1,25,750.0,0.2697579118,372.7850836208583,361.5924289925863,309.0,323.0,0.0005896793040677583,,,,,,,,,,,,,,,,,230221_ABA
PPG1,26,780.0,0.2746167194,372.63338319460576,361.9506606931297,311.0,325.8100750161246,0.0005698245795011195,,,,,,,,,,,,,,,,,230221_ABA
PPG1,27,810.0,0.2798349508,372.1712997009955,361.4959540860177,314.0,330.0,0.0005542278066421663,,,,,,,,,,,,,,,,,230221_ABA
PPG1,28,840.0,0.2841028732,370.7664104384857,360.9573437450434,317.0,333.0,0.0005453368902359385,,,,,,,,,,,,,,,,,230221_ABA
