Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,TauFlux,A0,Aeq,A0-Aeq,Ecomp,EcompNG,1/Ecomp,L/H_Comp,H/L_Comp,Tdeb,tdebShift,GR_InOC,fitR2,fit_name,ChipRow,TauFluxRel,A0Rel,AeqRel,A0Rel-AeqRel,Erel,RevE,RevA,1/Erel,L/H_Rel,H/L_Rel,TdebRel,GrowthSlope,GR_AfterOC,E,1/E,fitR2rel,Expe
PPG2,0,0.0,0.4398688682,267.9824507736115,245.57887389877752,393.0,433.0,1.0291971365600696,0.4404785713947579,0.4332944510878987,0.007184120306859165,15.190689026263922,15.19075172446134,0.06582952694761784,1.06603805229308e-09,938052818.8923179,2.3797896475226192,5.0,3.929433738634697e-15,0.99,Osmotic choc fit,9.0,0.633490163823657,0.4337695362136325,0.4410428635850999,-0.0072733273714674085,14.775840581462237,0.9726906104071755,1.012417256504331,0.06767804474383675,1.7805602625130395e-09,561620980.2349651,17.410644389608258,0.00011641665482474139,0.3864724674096627,14.983296152961788,0.06674098875115188,0.991,230301_ABA_Osmo
PPG2,1,0.5,0.4404428172,268.0436795873086,245.7875171145509,391.0,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,2,1.0,0.440105975,268.30088472038926,246.20613857788848,392.0,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,3,1.5,0.4410054754,268.14407768619697,246.15923016917068,393.0,433.9058916704613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,4,2.0,0.4409697212,267.80743525881064,246.1254680903872,393.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,5,2.5,0.4396298796,267.87445526537573,246.6314460425059,392.0,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,6,3.0,0.4374940365999999,267.0837692927149,245.95006417490137,391.0,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,7,3.5,0.4355821277999999,266.5178254943904,246.09111865166275,391.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,8,4.0,0.4343777758,266.1839726523744,246.3899030034634,389.0,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,9,4.5,0.4340446972,266.3073559635821,246.8783849446528,390.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,10,5.0,0.4343702486,265.8506654144859,246.9822211909578,390.0,430.859054367558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
PPG2,11,5.5,0.4340014157999999,265.9793432530387,246.58380317290664,391.0,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230301_ABA_Osmo
