Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,AreaNorm,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG1,0,0.0,0.2519824289999999,293.8046774137204,405.76836699476576,334.0,286.0,1.0,-0.00012522015743293962,285.31769970154005,8.0,0.01935218256994182,98.0,0.37853475506617384,510.0,754.1293379564653,15.0,0.13723717407699926,ExpDel,285.31769970154005,8.0,1596.6568354492888,0.9018844676131007,0.25223079722976915,0.997,220531_Ct2
PPG1,1,30.0,0.2507611408,291.9809852102331,403.6192902172616,333.0,286.0,0.9951532803106682,-7.016688692339634e-05,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,2,60.0,0.2505183886,289.812992074667,402.4657075629799,333.0,286.0,0.9941899107576267,-1.2260948722026613e-05,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,3,90.0,0.2505353248,288.49562390953923,401.841151174022,332.0,285.0,0.9942571225869088,4.760582944019887e-05,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,4,120.0,0.2507950131999999,287.33997654510074,401.5079387915823,333.0,286.0,0.995287703969232,0.00010852935691892266,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,5,150.0,0.2513633168,286.11565388293553,401.3906991098038,333.0,285.0,0.9975430342406932,0.00016960438534780508,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,6,180.0,0.2527238582,287.15963761778346,401.4918771425487,333.0,287.0,1.0029423845263434,0.00023022955017184475,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,7,210.0,0.2544927502,288.53824070031953,401.4864877068432,333.0,289.0,1.009962286695792,0.000289134991510595,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,8,240.0,0.2568525274,286.7829388689306,402.17337302421777,335.0,291.0,1.0193271349090771,0.0003446134356069186,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,9,270.0,0.259481402,277.82187896329606,403.9183186657818,340.0,287.0,1.029759904409843,0.0003956599587175686,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,10,300.0,0.2624527641999999,276.94084386462487,402.7592193657937,342.0,289.80325855401054,1.04155184645831,0.00044293981518245723,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,11,330.0,0.2661975461999999,276.42530948287583,401.1142514931884,345.0,291.0,1.056413128710653,0.00048466252386988645,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,12,360.0,0.270057118,276.2290406473512,399.16348983294927,347.0,294.0,1.0717299578059076,0.000521776073593587,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,13,390.0,0.2741255696,275.31767522859707,397.3762938657817,349.0,296.0,1.087875732795639,0.000557480701163076,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,14,420.0,0.2790201314,275.48027982983115,396.04570874887577,352.0,298.9978814895721,1.1072999514581237,0.0005913824490366303,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,15,450.0,0.2839579746,275.59346041456564,396.40115120628,355.0,302.0,1.1268959336843287,0.0006263390810093306,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,16,480.0,0.2891253974,275.80602874204783,394.1650298250588,358.0,304.0,1.147403009596356,0.0006619050551557113,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,17,510.0,0.29487806,275.8303117644102,391.9483961404028,362.0,308.0,1.1702326276091262,0.0006955380568930382,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,18,540.0,0.3010616547999999,276.7475694365773,389.203682512086,366.0,309.0,1.1947724132780704,0.0007247232365717951,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,19,570.0,0.3077251085999999,278.05922099403017,386.4774780017515,370.0,313.0,1.2212165341100034,0.0007453156337702691,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,20,600.0,0.3144751252,278.9892146363519,383.7485915825695,373.0,316.0,1.2480041820693777,0.000756816267619052,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,21,630.0,0.3220098523999999,279.7184782841933,381.0706719030442,378.0,318.0,1.2779059781188156,0.0007547112516578364,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,22,660.0,0.3295370524,280.71486992525456,378.1343747987214,383.0,322.789802963695,1.3077779022441285,0.0007408165487186753,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,23,690.0,0.3371376425999999,281.5449368850224,375.4227463402998,388.0,326.0,1.337941077629663,0.0007177557608724646,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,24,720.0,0.3445124168,281.7943279031668,372.74731613567326,392.0,329.0,1.3672080952914385,0.0006883524131621955,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,25,750.0,0.3515447034,281.3590395959281,370.1662230241393,395.0,332.0,1.3951159404055116,0.000658935394845641,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,26,780.0,0.3584527911999999,280.95122494901307,367.6149245001056,398.0,336.0,1.4225308987715173,0.000631671151188287,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,27,810.0,0.3652159804,280.5876028966189,365.2027988977701,403.0,340.0,1.4493708225981108,0.0006075113494117714,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,28,840.0,0.3717364173999999,279.5341424532659,362.6036522403986,407.0,342.0,1.475247376871663,0.0005885296513245782,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,29,870.0,0.3786256872,278.75279000026785,360.285250740988,411.0,346.0,1.5025876554273556,0.0005716530864545574,,,,,,,,,,,,,,,,,220531_Ct2
PPG1,30,900.0,0.384931599,278.05728476980244,357.5910396155924,414.0,349.0,1.5276128598633365,0.0005577774633210131,,,,,,,,,,,,,,,,,220531_Ct2
