Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,AspectRatio,Solidity,Circularity,Convexity,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,G,A0fit,fitR2,Expe
PPG1,0,29.0,0.2935946724,302.16161302143024,283.914517861204,320.0,323.0,1.0093457943925233,3.6901832857807215,3.0608581508859047,0.9193323646004002,-0.00010213222136309348,102.1649396734817,2.0,-0.001065326074981084,0.0,0.1769089750381773,262.0,457.9014819920136,7.0,0.0865499919410665,ExpDel,102.1649396734817,2.0,1741.585766793129,0.8268326644926283,0.29409282291186906,0.998,240305_noFlux
PPG1,1,59.0,0.2943944374,301.9509677754987,285.27174869331003,319.0,325.0,1.01875,3.688529351550802,3.065923494253446,0.9202155605865912,4.0382156954391596e-05,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,2,89.0,0.2955253992,302.0254402448212,285.2889938049559,320.0,324.0,1.0124610591900312,3.6933288242351527,3.07362677901182,0.9210572440945288,0.0001994149719667932,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,3,119.0,0.2962856464,301.4993400413918,285.8410932635546,321.0,327.0,1.0186335403726707,3.691595965586628,3.0684379532013137,0.9204885620085644,0.0003610518821215856,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,4,149.0,0.2982333094,301.5151826857372,286.0200326673565,323.0,327.0,1.0123456790123455,3.690526718681359,3.0676454907150954,0.9207411158189156,0.0005120741868437606,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,5,179.0,0.3022678886,302.3538225718744,285.5712760782312,325.0,329.0,1.012269938650307,3.6930168372053247,3.068404170504513,0.9210690490754752,0.0006404925504599731,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,6,209.0,0.3088052617999999,302.39877202006994,285.8156974886056,330.0,332.0,1.0060422960725075,3.6906201737717055,3.073850632123724,0.92258314787606,0.0007289823200853359,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,7,239.0,0.316594032,302.89088495393867,287.2009222392469,336.0,336.0,1.0,3.686534254790198,3.030219350362548,0.9171778517714086,0.0007644448462629873,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,8,269.0,0.3246010909999999,303.1516949580198,287.155233547694,341.0,340.0,0.9970760233918128,3.686365728043427,3.047679083063845,0.9202006798306066,0.0007502713592502773,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,9,299.0,0.332118882,302.6317108338964,287.6189482999873,346.0,343.8571726061417,0.9942363112391932,3.6830074742725336,3.0489774524779247,0.9212377310191562,0.0007000241416038568,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,10,329.0,0.3399810424,302.59003171142524,286.46713189594897,350.0,349.0,0.9971509971509972,3.67994633906102,3.0367797619422494,0.9202847722967984,0.0006297269750969159,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,11,359.0,0.346382926,302.7659792034032,286.9126627361733,354.0,351.0,0.991549295774648,3.6800310863213808,3.01559231596913,0.9175313005870588,0.000561534175177704,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,12,389.0,0.3522353239999999,301.96889071271016,287.2524345812818,358.0,354.0,0.9888579387186628,3.6788707981053936,3.024392140737018,0.919698082211742,0.000516055168098238,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,13,419.0,0.3571411766,301.9838476374338,287.53585423746296,362.0,358.0,0.9889807162534436,3.674329742075536,2.9867801239092997,0.9156760520634646,0.0005047702856513432,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,14,449.0,0.3610459116,301.50346251090207,288.0907920439954,365.0,360.0,0.9863387978142076,3.672188606474842,2.979234640634311,0.9156549584066505,0.0005273772855387347,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,15,479.0,0.3648847836,301.0483749288131,288.50691717850464,368.0,362.0,0.983739837398374,3.670171532604432,2.9722504268661707,0.9160702218060396,0.0005732350602336256,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,16,509.0,0.3703815213999999,301.3142813770852,288.6440525369678,372.0,365.0,0.9812332439678284,3.6690691293451017,2.956129113778636,0.9139782708870278,0.0006204197444338025,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,17,539.0,0.381139772,305.808647837659,288.5505970474704,376.0,371.0,0.986737400530504,3.6713716069123614,2.975703791479503,0.9155842174892068,0.0006377478383806077,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,18,569.0,0.3896850258,308.9703045916257,288.23058663365987,380.0,374.0,0.984251968503937,3.671909106156833,2.982942466378697,0.915647433055468,0.0006310826169139552,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,19,599.0,0.3972536254,311.81863280229686,287.8577992884666,384.0,376.0,0.9792207792207792,3.675891786804848,3.002595439832674,0.9175287159846812,0.0006054619318697794,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,20,629.0,0.4039961148,313.8088480203347,287.1521146442566,389.0,379.0,0.9743589743589745,3.675147619545787,2.998623064825808,0.916811592966304,0.0005705828146947408,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,21,659.0,0.4103095538,315.33186651301105,287.04320931214875,392.0,381.0,0.9720101781170484,3.676575960788882,3.0056868438677293,0.9177009641744844,0.0005388508308667858,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,22,689.0,0.4160208167999999,316.847604739683,286.5169249342007,396.0,382.0,0.964735516372796,3.6752091875632193,2.9801254173953344,0.9139163793796208,0.0005180659585489814,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,23,719.0,0.4225450173999999,317.2825767633062,286.4729647291211,400.0,385.0,0.9625935162094764,3.671526909207816,2.9947985693871546,0.9171098821009916,0.0005104200362959439,,,,,,,,,,,,,,,,,240305_noFlux
PPG1,24,749.0,0.4293496061999999,316.3295296875209,286.09184022938246,404.0,388.0,0.9604938271604938,3.669576344095212,2.966033514844843,0.913178979818535,0.0005170074149267474,,,,,,,,,,,,,,,,,240305_noFlux
